name	hashes	dependencies
KernSmooth	23587108a658d06d696fb1ccb4597c8b	stats
MASS	db60ff70b252d973c060fb76a60d6c0a	methods
MASS	db60ff70b252d973c060fb76a60d6c0a	grDevices
MASS	db60ff70b252d973c060fb76a60d6c0a	graphics
MASS	db60ff70b252d973c060fb76a60d6c0a	stats
MASS	db60ff70b252d973c060fb76a60d6c0a	utils
Matrix	8fe159e311236a1826bf40953b6123d4	graphics
Matrix	8fe159e311236a1826bf40953b6123d4	grid
Matrix	8fe159e311236a1826bf40953b6123d4	lattice
Matrix	8fe159e311236a1826bf40953b6123d4	stats
Matrix	8fe159e311236a1826bf40953b6123d4	utils
Matrix	8fe159e311236a1826bf40953b6123d4	methods
Rcpp	5b93d89b27d83ce5f506e2a8f70a703c	methods
Rcpp	5b93d89b27d83ce5f506e2a8f70a703c	utils
askpass	971fb40a598f7066d57947d65fb03211	sys
bit64	e4105c41ec0751384c8a507ae862d405	bit
bit64	e4105c41ec0751384c8a507ae862d405	utils
bit64	e4105c41ec0751384c8a507ae862d405	methods
bit64	e4105c41ec0751384c8a507ae862d405	stats
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	fs
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	gert
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	stringr
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	usethis
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	prompt
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	dplyr
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	gitcreds
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	renv
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	withr
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	devtools
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	purrr
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	tibble
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	pak
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	cli
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	rlang
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	rstudioapi
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	pkgcache
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	digest
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	readr
blaseRtemplates	880d3d4ee3df5da1fb94acaf96635169	rjson
boot	69b2852d674e2bb99f471caf684813a7	graphics
boot	69b2852d674e2bb99f471caf684813a7	stats
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	grDevices
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	htmltools
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	jsonlite
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	sass
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	jquerylib
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	rlang
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	cachem
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	memoise
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	base64enc
bslib	639ed40a1bf6f8a1c791ac40d71aaffd	mime
cachem	fd94937c1eb37d15b4a00b276ab3c5f7	rlang
cachem	fd94937c1eb37d15b4a00b276ab3c5f7	fastmap
callr	bd2e89500bfe30588d16eb948eca9bbc	processx
callr	bd2e89500bfe30588d16eb948eca9bbc	R6
callr	bd2e89500bfe30588d16eb948eca9bbc	utils
class	314d0258b0bb3bf16763ab9d57047999	MASS
class	314d0258b0bb3bf16763ab9d57047999	stats
class	314d0258b0bb3bf16763ab9d57047999	utils
cli	d32855841aa886fbdad0d2da7d5739ac	utils
clipr	45b75e19360a9e9b96eb59f6d47f9afa	utils
cluster	e7cb2ce581d7e5c1d606a190df21e5a5	graphics
cluster	e7cb2ce581d7e5c1d606a190df21e5a5	grDevices
cluster	e7cb2ce581d7e5c1d606a190df21e5a5	stats
cluster	e7cb2ce581d7e5c1d606a190df21e5a5	utils
crayon	3a75fcc9b968d7383510dc96dbb45bfe	grDevices
crayon	3a75fcc9b968d7383510dc96dbb45bfe	methods
crayon	3a75fcc9b968d7383510dc96dbb45bfe	utils
credentials	c9802447c7b5c7a22e56c5a42c4de949	openssl
