R_version	name	version	date_time	hash	binary_location
4.3.0	DBI	1.1.3	2023-06-05T17:11:41Z	55ff9bb2a8d8235e1fca6f179cb484b8	/cloud/project/ds_2023/r_4_2_cache/library/DBI/1.1.3/55ff9bb2a8d8235e1fca6f179cb484b8/DBI
4.3.0	KernSmooth	2.23.20	2023-06-02T18:58:22Z	23587108a658d06d696fb1ccb4597c8b	/cloud/project/ds_2023/r_4_2_cache/library/KernSmooth/2.23-20/23587108a658d06d696fb1ccb4597c8b/KernSmooth
4.3.0	MASS	7.3.58.4	2023-06-02T18:58:22Z	db60ff70b252d973c060fb76a60d6c0a	/cloud/project/ds_2023/r_4_2_cache/library/MASS/7.3-58.4/db60ff70b252d973c060fb76a60d6c0a/MASS
4.3.0	Matrix	1.5.4	2023-06-02T18:58:23Z	8fe159e311236a1826bf40953b6123d4	/cloud/project/ds_2023/r_4_2_cache/library/Matrix/1.5-4/8fe159e311236a1826bf40953b6123d4/Matrix
4.3.0	R6	2.5.1	2023-06-02T18:58:23Z	1f798305f140ac9b435b4c672a76d22e	/cloud/project/ds_2023/r_4_2_cache/library/R6/2.5.1/1f798305f140ac9b435b4c672a76d22e/R6
4.3.0	RColorBrewer	1.1.3	2023-06-05T17:11:42Z	cec1d134992b48d828c85ebd1023f2bc	/cloud/project/ds_2023/r_4_2_cache/library/RColorBrewer/1.1-3/cec1d134992b48d828c85ebd1023f2bc/RColorBrewer
4.3.0	Rcpp	1.0.10	2023-06-02T18:58:26Z	5b93d89b27d83ce5f506e2a8f70a703c	/cloud/project/ds_2023/r_4_2_cache/library/Rcpp/1.0.10/5b93d89b27d83ce5f506e2a8f70a703c/Rcpp
4.3.0	askpass	1.1	2023-06-02T18:58:28Z	971fb40a598f7066d57947d65fb03211	/cloud/project/ds_2023/r_4_2_cache/library/askpass/1.1/971fb40a598f7066d57947d65fb03211/askpass
4.3.0	backports	1.4.1	2023-06-05T17:11:42Z	8bc4493e68aaa0bfd3996fc80338d240	/cloud/project/ds_2023/r_4_2_cache/library/backports/1.4.1/8bc4493e68aaa0bfd3996fc80338d240/backports
4.3.0	base	4.3.0	2023-06-02T18:58:28Z	f0e1e1fc8163bfa171cc764a2c5a33c5	/cloud/project/ds_2023/r_4_2_cache/library/base/4.3.0/f0e1e1fc8163bfa171cc764a2c5a33c5/base
4.3.0	base64enc	0.1.3	2023-06-02T18:58:28Z	f2ed5d70c46bcf442fe49056ba81d8b1	/cloud/project/ds_2023/r_4_2_cache/library/base64enc/0.1-3/f2ed5d70c46bcf442fe49056ba81d8b1/base64enc
4.3.0	bit	4.0.5	2023-06-02T18:58:29Z	bb4fa7f19325de27125d9d34051cb31f	/cloud/project/ds_2023/r_4_2_cache/library/bit/4.0.5/bb4fa7f19325de27125d9d34051cb31f/bit
4.3.0	bit64	4.0.5	2023-06-02T18:58:29Z	e4105c41ec0751384c8a507ae862d405	/cloud/project/ds_2023/r_4_2_cache/library/bit64/4.0.5/e4105c41ec0751384c8a507ae862d405/bit64
4.3.0	blaseRtemplates	0.0.0.9199	2023-06-02T18:58:29Z	880d3d4ee3df5da1fb94acaf96635169	/cloud/project/ds_2023/r_4_2_cache/library/blaseRtemplates/0.0.0.9199/880d3d4ee3df5da1fb94acaf96635169/blaseRtemplates
4.3.0	blob	1.2.4	2023-06-05T17:11:43Z	319d75092d6d651173dc4ac7c215c7b6	/cloud/project/ds_2023/r_4_2_cache/library/blob/1.2.4/319d75092d6d651173dc4ac7c215c7b6/blob
